session_id,target
1,0.009050971528055679
2,0.009051598924072998
3,0.009050553361869744
4,0.009050762438343017
5,0.00905201714849436
6,0.00905055333052421
7,0.009052017187377219
8,0.009052017175883718
9,0.009051808010292855
10,0.009052017161511708
11,0.009050553330368702
12,0.009050553329453134
13,0.009050971538461334
14,0.009051389796629594
15,0.00905055335794763
16,0.009052017165242085
17,0.00905201716177971
18,0.009050762426319631
19,0.009050762426285068
20,0.00905138979299366
21,0.009052017169807726
22,0.009052017180750157
23,0.009052017147194818
24,0.009051598896056667
25,0.009052017155959475
26,0.00905201715408559
27,0.009050553330339826
28,0.009052017181405213
29,0.009050971548588499
30,0.009050553368849088
31,0.009051808035440034
32,0.00905138979945321
33,0.009051808022907712
34,0.009051180679018573
35,0.00905138976397052
36,0.009050762448885821
37,0.009051389790507026
38,0.009050762455885767
39,0.009050553368849088
40,0.009051389774101217
41,0.00905118066783207
42,0.00905118065107483
43,0.009052017159805201
44,0.009050762436163465
45,0.009052017165132938
46,0.009050553368458081
47,0.00905159891847194
48,0.009050762454647383
49,0.009050762432310525
50,0.009052017159834553
51,0.009052017158805258
52,0.009050762431132675
53,0.009051808011773924
54,0.009052017187311355
55,0.009052017170695214
56,0.00905180804588231
57,0.009050971566605422
58,0.009052017181791733
59,0.009051598927955474
60,0.009050762447353056
61,0.009052017170803844
62,0.00905097153493216
63,0.009051598912967284
64,0.00905201717614154
65,0.009051389800379242
66,0.009050762455749503
67,0.009050971551456916
68,0.009052017147197297
69,0.009050762451626318
70,0.009051389774825952
71,0.009052017181416645
72,0.009051389806253082
73,0.009051389781332552
74,0.009051598924072998
75,0.009051598895597588
76,0.009051598899972483
77,0.009052017187332603
78,0.009052017168282408
79,0.009050762438139655
80,0.009050971566523928
81,0.009052017154215086
82,0.009050553363187231
83,0.009051598923635447
84,0.009050553341419982
85,0.009050553334371571
86,0.009051389799214526
87,0.009052017152784543
88,0.009051598906703718
89,0.00905055336346067
90,0.009052017148755344
91,0.009050553329986083
92,0.009051389790150598
93,0.009050553335695058
94,0.009051808017251348
95,0.009052017183400731
96,0.009051598919424952
97,0.009051180674431369
98,0.00905076245438974
99,0.009051389769338654
100,0.009050553319074475
101,0.009052017187326374
102,0.009051808046655403
103,0.009051389763553028
104,0.00905201714919882
105,0.0090520171761259
106,0.009052017136789495
107,0.009051598924032147
108,0.00905201717572484
109,0.009050553324672543
110,0.009051389796845334
111,0.009052017170713285
112,0.009052017164844888
113,0.009052017161369694
114,0.009052017163071172
115,0.009051808028468477
116,0.00905076244057386
117,0.00905201715414375
118,0.00905201714209846
119,0.009051389806016859
120,0.009052017176308536
121,0.009051389774388139
122,0.009050553368849088
123,0.00905097154566747
124,0.009052017142205418
125,0.009050553341158856
126,0.009051598920541862
127,0.009051598906367366
128,0.009052017181871937
129,0.00905201715261189
130,0.009052017158860724
131,0.009050553345718016
132,0.00905055336896958
133,0.009050553329366051
134,0.009052017153891003
135,0.00905138977950838
136,0.00905201717614154
137,0.009050762459936893
138,0.00905118064682892
139,0.009050762457433699
140,0.009051389769223778
141,0.009051598914265461
142,0.009052017176373921
143,0.00905055333032572
144,0.009051180685513648
145,0.009050762465986965
146,0.009050553341040787
147,0.009052017187373912
148,0.009051389769499825
149,0.009051598924121548
150,0.009052017183412068
151,0.009050971539811567
152,0.009052017142755095
153,0.00905097155026419
154,0.009052017173197738
155,0.00905055334022844
156,0.009050553363349772
157,0.009050553352477132
158,0.00905201717614154
159,0.00905138979334918
160,0.009050553368849088
